operacje,rekordy
5,10
9,20
12,30
33,40
41,50
48,60
57,70
65,80
72,90
81,100
89,110
96,120
105,130
113,140
120,150
193,160
205,170
216,180
229,190
241,200
252,210
265,220
277,230
288,240
301,250
313,260
324,270
337,280
349,290
360,300
373,310
385,320
396,330
409,340
421,350
432,360
445,370
457,380
468,390
481,400
493,410
504,420
517,430
529,440
540,450
553,460
565,470
576,480
589,490
601,500
612,510
625,520
637,530
648,540
661,550
673,560
684,570
697,580
709,590
720,600
733,610
745,620
756,630
769,640
781,650
792,660
805,670
817,680
828,690
841,700
853,710
864,720
877,730
889,740
900,750
1217,760
1233,770
1248,780
1265,790
1281,800
1296,810
1313,820
1329,830
1344,840
1361,850
1377,860
1392,870
1409,880
1425,890
1440,900
1457,910
1473,920
1488,930
1505,940
1521,950
1536,960
1553,970
1569,980
1584,990
1601,1000
